         4335032 function calls (4299212 primitive calls) in 2840.405 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 base.py:28(_verifySubtypeSpec)
      138    0.000    0.000    0.000    0.000 base.py:37(getTagSet)
       12    0.000    0.000    0.000    0.000 base.py:39(getTagMap)
        1    0.000    0.000    0.000    0.000 base.py:50(__NoValue)
        1    0.000    0.000    0.000    0.000 base.py:59(AbstractSimpleAsn1Item)
        1    0.000    0.000    0.000    0.000 base.py:6(Asn1Item)
       80    0.000    0.000    0.001    0.000 base.py:61(__init__)
        1    0.000    0.000    0.000    0.000 base.py:8(Asn1ItemBase)
        1    0.002    0.002    0.002    0.002 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 big5freq.py:43(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:34(Big5Prober)
        1    0.014    0.014    0.014    0.014 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:488(TimeEncoding)
        1    0.000    0.000    0.000    0.000 calendar.py:501(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:536(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        1    0.000    0.000    0.000    0.000 certs.py:13(<module>)
        1    0.000    0.000    0.000    0.000 certs.py:19(where)
     4171    0.013    0.000    0.019    0.000 cgi.py:282(_parseparam)
     1423    0.011    0.000    0.032    0.000 cgi.py:294(parse_header)
        1    0.000    0.000    0.000    0.000 cgi.py:318(MiniFieldStorage)
        1    0.000    0.000    0.000    0.000 cgi.py:343(FieldStorage)
        1    0.000    0.000    0.000    0.000 cgi.py:7(<module>)
        1    0.000    0.000    0.000    0.000 cgi.py:774(FormContentDict)
        1    0.000    0.000    0.000    0.000 cgi.py:794(SvFormContentDict)
        1    0.000    0.000    0.000    0.000 cgi.py:828(InterpFormContentDict)
        1    0.000    0.000    0.000    0.000 cgi.py:856(FormContent)
        1    0.000    0.000    0.000    0.000 char.py:10(NumericString)
        1    0.000    0.000    0.000    0.000 char.py:15(PrintableString)
        1    0.000    0.000    0.000    0.000 char.py:2(<module>)
        1    0.000    0.000    0.000    0.000 char.py:20(TeletexString)
        1    0.000    0.000    0.000    0.000 char.py:26(VideotexString)
        1    0.000    0.000    0.000    0.000 char.py:31(IA5String)
        1    0.000    0.000    0.000    0.000 char.py:36(GraphicString)
        1    0.000    0.000    0.000    0.000 char.py:4(UTF8String)
        1    0.000    0.000    0.000    0.000 char.py:41(VisibleString)
        1    0.000    0.000    0.000    0.000 char.py:46(GeneralString)
        1    0.000    0.000    0.000    0.000 char.py:51(UniversalString)
        1    0.000    0.000    0.000    0.000 char.py:57(BMPString)
        1    0.000    0.000    0.000    0.000 chardistribution.py:111(EUCTWDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:130(EUCKRDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:149(GB2312DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:168(Big5DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:190(SJISDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:215(EUCJPDistributionAnalysis)
        1    0.124    0.124    0.124    0.124 chardistribution.py:28(<module>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:46(CharDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:33(CharSetGroupProber)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:33(CharSetProber)
        5    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:32(CodingStateMachine)
        1    0.028    0.028    0.032    0.032 collections.py:1(<module>)
     3773    0.007    0.000    0.010    0.000 collections.py:108(items)
     1424    0.006    0.000    0.012    0.000 collections.py:132(pop)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        4    0.002    0.001    0.003    0.001 collections.py:288(namedtuple)
      179    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       25    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
       25    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
     8528    0.056    0.000    0.173    0.000 collections.py:38(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:387(Counter)
     9852    0.021    0.000    0.021    0.000 collections.py:54(__setitem__)
     1423    0.005    0.000    0.006    0.000 collections.py:64(__delitem__)
    14700    0.006    0.000    0.006    0.000 collections.py:73(__iter__)
        1    0.000    0.000    0.003    0.003 compat.py:18(fromhex)
        1    0.000    0.000    0.000    0.000 compat.py:2(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:21(<module>)
        1    0.091    0.091    0.250    0.250 compat.py:5(<module>)
       10    0.000    0.000    0.003    0.000 compat.py:8(u)
        2    0.035    0.018    0.184    0.092 connection.py:1(<module>)
       15    0.000    0.000    0.486    0.032 connection.py:111(_new_conn)
     1423    0.005    0.000    0.029    0.000 connection.py:12(is_connection_dropped)
        1    0.000    0.000    0.000    0.000 connection.py:13(DummyConnection)
        1    0.000    0.000    0.000    0.000 connection.py:150(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 connection.py:153(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:172(VerifiedHTTPSConnection)
        1    0.000    0.000    0.000    0.000 connection.py:182(set_cert)
       15    0.001    0.000    1.769    0.118 connection.py:193(connect)
       15    0.001    0.000    0.486    0.032 connection.py:48(create_connection)
        1    0.000    0.000    0.000    0.000 connection.py:54(HTTPConnection)
        1    0.000    0.000    0.000    0.000 connection.py:90(__init__)
       15    0.000    0.000    0.000    0.000 connection.py:92(_set_socket_options)
        1    0.102    0.102    0.604    0.604 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:142(__init__)
     1424    0.008    0.000    0.053    0.000 connectionpool.py:195(_get_conn)
     1424    0.005    0.000    0.029    0.000 connectionpool.py:233(_put_conn)
     1424    0.000    0.000    0.000    0.000 connectionpool.py:263(_validate_conn)
     1424    0.003    0.000    0.011    0.000 connectionpool.py:269(_get_timeout)
     1424    0.041    0.000 2830.550    1.988 connectionpool.py:281(_make_request)
     1424    0.035    0.000 2831.030    1.988 connectionpool.py:400(urlopen)
        1    0.000    0.000    0.000    0.000 connectionpool.py:54(ConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:615(HTTPSConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:63(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:636(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:656(_prepare_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:689(_new_conn)
     1424    0.005    0.000    1.775    0.001 connectionpool.py:714(_validate_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:79(HTTPConnectionPool)
        1    0.000    0.000    0.000    0.000 constants.py:29(<module>)
        1    0.000    0.000    0.000    0.000 constraint.py:103(ValueSizeConstraint)
       15    0.000    0.000    0.000    0.000 constraint.py:105(_testValue)
        1    0.000    0.000    0.000    0.000 constraint.py:110(PermittedAlphabetConstraint)
        1    0.000    0.000    0.000    0.000 constraint.py:122(InnerTypeConstraint)
        1    0.006    0.006    0.008    0.008 constraint.py:14(<module>)
        1    0.000    0.000    0.000    0.000 constraint.py:147(ConstraintsExclusion)
        1    0.000    0.000    0.000    0.000 constraint.py:162(AbstractConstraintSet)
        5    0.000    0.000    0.000    0.000 constraint.py:166(__add__)
        6    0.000    0.000    0.000    0.000 constraint.py:167(__radd__)
        1    0.000    0.000    0.000    0.000 constraint.py:17(AbstractConstraint)
       14    0.000    0.000    0.000    0.000 constraint.py:173(_setValues)
        1    0.000    0.000    0.000    0.000 constraint.py:179(ConstraintsIntersection)
    74/55    0.000    0.000    0.000    0.000 constraint.py:181(_testValue)
        1    0.000    0.000    0.000    0.000 constraint.py:185(ConstraintsUnion)
       26    0.000    0.000    0.000    0.000 constraint.py:23(__init__)
    93/55    0.000    0.000    0.000    0.000 constraint.py:27(__call__)
       23    0.000    0.000    0.000    0.000 constraint.py:51(__hash__)
       12    0.000    0.000    0.000    0.000 constraint.py:56(_setValues)
       23    0.000    0.000    0.000    0.000 constraint.py:61(getValueMap)
        1    0.000    0.000    0.000    0.000 constraint.py:69(SingleValueConstraint)
        4    0.000    0.000    0.000    0.000 constraint.py:71(_testValue)
        1    0.000    0.000    0.000    0.000 constraint.py:76(ContainedSubtypeConstraint)
        1    0.000    0.000    0.000    0.000 constraint.py:82(ValueRangeConstraint)
       10    0.000    0.000    0.000    0.000 constraint.py:88(_setValues)
     5701    0.002    0.000    0.002    0.000 cookielib.py:1036(set_ok_port)
     4264    0.034    0.000    0.329    0.000 cookielib.py:1057(return_ok)
     4264    0.003    0.000    0.003    0.000 cookielib.py:1075(return_ok_version)
     4264    0.006    0.000    0.177    0.000 cookielib.py:1084(return_ok_verifiability)
     4264    0.005    0.000    0.006    0.000 cookielib.py:1096(return_ok_secure)
     4264    0.005    0.000    0.007    0.000 cookielib.py:1102(return_ok_expires)
     4264    0.002    0.000    0.002    0.000 cookielib.py:1108(return_ok_port)
     4264    0.011    0.000    0.088    0.000 cookielib.py:1122(return_ok_domain)
     1423    0.007    0.000    0.044    0.000 cookielib.py:1144(domain_return_ok)
     2843    0.006    0.000    0.063    0.000 cookielib.py:1166(path_return_ok)
    15653    0.025    0.000    0.056    0.000 cookielib.py:1175(vals_sorted_by_key)
41240/15648    0.069    0.000    0.125    0.000 cookielib.py:1180(deepvalues)
        1    0.000    0.000    0.000    0.000 cookielib.py:1199(Absent)
        1    0.000    0.000    0.000    0.000 cookielib.py:1201(CookieJar)
     4271    0.022    0.000    0.061    0.000 cookielib.py:1217(__init__)
